sign,tokens,coverage,precision,decomposes,n_parts,parts
394,3,0.929,0.697,False,2,205@1.0 + 600@0.65
604,18,0.929,0.795,True,2,306@1.0 + 044@1.0
650,3,0.929,0.901,True,2,022@0.8 + 063m@0.5
633,9,0.928,0.814,True,2,607@1.0 + 739m@0.65
109,4,0.928,0.937,True,2,021m@1.0 + 306@0.4
667,2,0.928,0.646,False,2,254@1.0 + 254m@0.8
676,1,0.928,0.818,True,1,020@1.0
526,3,0.928,0.954,True,1,306@1.0
106,0,0.928,0.976,True,1,040@1.0
499,15,0.928,0.860,True,2,059@1.0 + 002m@0.4
135,1,0.927,0.970,True,1,004@1.0
603,1,0.927,0.809,True,2,306@1.0 + 011m@0.8
683,2,0.927,0.694,False,2,430m@1.0 + 021@0.65
574,1,0.927,0.966,True,1,306@1.0
489,1,0.927,0.685,False,2,254m@1.0 + 007m@0.8
491,1,0.926,0.690,False,2,254@1.0 + 003@1.0
724,5,0.926,0.897,True,1,053m@1.0
636,1,0.926,0.780,True,2,020@1.0 + 091@0.4
183,0,0.925,0.791,True,2,381@1.0 + 607@0.5
441,2,0.924,0.762,True,1,381@1.0
378,6,0.924,0.751,True,2,254@1.0 + 430@0.65
482,2,0.924,0.853,True,2,020@1.0 + 050m@0.5
386,30,0.924,0.884,True,2,381@1.0 + 053m@0.4
117,12,0.923,0.828,True,1,050m@1.0
404,3,0.923,0.953,True,1,306@1.0
232,5,0.923,0.897,True,2,430@0.8 + 004@0.5
471,2,0.923,0.893,True,2,670@0.8 + 430@0.4
476,1,0.923,0.913,True,2,306@0.8 + 059@0.4
459,3,0.922,0.722,True,2,025@1.0 + 430@0.8
037,9,0.922,0.824,True,1,063m@0.8
678,5,0.922,0.552,False,2,025m@1.0 + 670m@0.65
382,10,0.921,0.939,True,1,381@1.0
282,3,0.921,0.935,True,1,205@1.0
105,1,0.921,0.843,True,1,070@1.0
028,17,0.921,0.790,True,2,254@1.0 + 021m@0.5
583,3,0.921,0.909,True,2,205@1.0 + 400@0.4
554,1,0.921,0.747,True,2,254@1.0 + 430@0.4
227,1,0.921,0.848,True,1,254@1.0
748,3,0.921,0.752,True,1,254@1.0
263,4,0.920,0.895,True,1,306@1.0
315,2,0.920,0.918,True,2,205m@1.0 + 063m@0.5
680,22,0.920,0.773,True,2,254m@1.0 + 020m@0.5
613,1,0.920,0.726,True,2,306@1.0 + 254@0.5
575,6,0.920,0.956,True,1,205@1.0
349,0,0.920,0.764,True,2,020@1.0 + 063@0.8
116,5,0.920,0.627,False,2,254@1.0 + 021@0.5
726,10,0.919,0.847,True,2,306@1.0 + 060@0.4
245,3,0.919,0.782,True,2,254@1.0 + 430@0.65
299,2,0.919,0.791,True,2,600@1.0 + 002m@0.65
695,1,0.918,0.746,True,1,381@1.0
371,4,0.918,0.913,True,1,205@1.0
773,7,0.918,0.865,True,1,200m@1.0
284,1,0.918,0.948,True,1,205@1.0
169,0,0.918,0.761,True,1,020@1.0
366,3,0.917,0.993,True,1,306@1.0
543,1,0.917,0.836,True,2,205m@1.0 + 002@0.5
308,5,0.917,0.834,True,2,020@1.0 + 004m@0.65
557,1,0.917,0.773,True,2,607@0.8 + 002m@0.65
344,1,0.916,0.780,True,1,254@1.0
524,1,0.916,0.954,True,1,306@1.0
539,4,0.916,0.894,True,2,430m@0.8 + 044m@0.4
558,2,0.916,0.783,True,1,020@1.0
243,2,0.916,0.829,True,2,306@1.0 + 076m@0.8
721,4,0.915,0.810,True,2,430@1.0 + 006m@0.5
293,1,0.915,0.927,True,1,306@1.0
665,3,0.915,0.888,True,2,670@1.0 + 522@0.4
480,6,0.914,0.868,True,2,381@1.0 + 040@0.65
681,2,0.914,0.844,True,2,020m@0.8 + 063m@0.65
340,2,0.914,0.834,True,1,600@1.0
669,0,0.914,0.817,True,1,020m@1.0
390,12,0.914,0.891,True,1,290m@1.0
559,1,0.914,0.948,True,2,670@0.8 + 053m@0.5
470,20,0.913,0.774,True,2,059@1.0 + 069@0.4
497,1,0.913,0.858,True,2,607m@0.8 + 063m@0.65
242,3,0.913,0.803,True,2,205@1.0 + 004m@1.0
168,6,0.913,0.969,True,2,430m@0.8 + 700m@0.4
483,1,0.913,0.889,True,2,059@1.0 + 004m@0.65
094,4,0.912,0.678,False,2,254@1.0 + 755@0.65
125,4,0.912,0.768,True,2,095m@1.0 + 010m@1.0
097,7,0.911,0.675,False,2,020m@1.0 + 060@0.4
235,4,0.911,0.956,True,1,205@1.0
548,1,0.911,0.825,True,2,020@1.0 + 010@0.5
581,2,0.911,0.889,True,1,008m@1.0
472,5,0.911,0.930,True,2,095m@1.0 + 020m@0.4
584,1,0.910,0.836,True,1,020@1.0
462,1,0.910,0.820,True,1,300m@1.0
084,14,0.909,0.841,True,1,070m@1.0
449,3,0.909,0.889,True,1,067m@1.0
610,6,0.907,0.907,True,1,200m@1.0
593,3,0.907,0.910,True,1,200@1.0
570,6,0.906,0.981,True,1,300@1.0
511,0,0.906,0.833,True,2,005m@1.0 + 060@0.65
031,9,0.905,0.646,False,2,254m@1.0 + 066m@0.65
631,30,0.905,0.804,True,1,600@1.0
343,1,0.905,0.855,True,2,254@0.8 + 076@0.4
720,13,0.905,0.762,True,2,600m@0.8 + 063@0.65
682,1,0.905,0.757,True,2,254@1.0 + 007m@0.65
039,5,0.904,0.735,True,1,020m@1.0
749,0,0.904,0.822,True,1,600@1.0
166,5,0.903,0.902,True,1,007@1.0
186,1,0.903,0.905,True,1,200m@1.0
775,1,0.902,0.955,True,1,095@1.0
054,11,0.902,0.944,True,1,040@1.0
512,1,0.902,0.779,True,1,020@1.0
602,5,0.902,0.809,True,2,306@1.0 + 700@0.8
080,19,0.901,0.851,True,1,070@1.0
112,1,0.901,0.736,True,2,430m@1.0 + 059m@0.8
719,2,0.901,0.793,True,1,070m@1.0
019,17,0.901,0.944,True,1,066@1.0
151,2,0.901,0.950,True,1,070@1.0
571,11,0.900,0.961,True,1,067@1.0
391,3,0.900,0.921,True,2,280@1.0 + 063@0.5
456,0,0.900,0.847,True,1,381@1.0
402,0,0.899,0.907,True,1,306@1.0
780,3,0.897,0.649,False,2,008@1.0 + 044@0.8
170,2,0.897,0.843,True,1,020@1.0
162,2,0.896,0.847,True,1,007@1.0
535,8,0.894,1.000,True,1,205@0.4
484,1,0.892,0.881,True,2,205m@1.0 + 400@0.4
774,7,0.891,0.868,True,1,280m@1.0
196,1,0.889,0.804,True,1,254m@1.0
372,2,0.885,0.821,True,1,254@1.0
403,0,0.883,0.946,True,1,306@1.0
405,12,0.865,0.846,True,1,205@1.0
547,1,0.853,0.833,True,1,306@1.0
