sign,nn1,s1,nn2,s2,nn3,s3
555,608,0.411,618,0.403,408,0.397
556,557,0.441,662,0.411,728,0.375
557,556,0.441,662,0.374,654,0.372
558,666,0.410,491,0.365,167,0.354
559,663,0.387,673,0.379,670,0.376
560,550,0.431,600,0.422,690,0.413
561,509,0.387,415,0.374,654,0.372
562,633,0.418,698,0.400,597,0.397
565,568,0.432,599,0.403,571,0.401
566,576,0.449,294,0.434,286,0.433
567,581,0.430,584,0.429,550,0.424
568,565,0.432,569,0.428,580,0.421
569,568,0.428,067,0.423,580,0.421
570,590,0.440,500,0.437,181,0.435
571,093,0.407,565,0.401,569,0.398
574,504,0.428,302,0.428,203,0.427
575,505,0.435,305,0.426,205,0.422
576,396,0.452,296,0.450,566,0.449
577,618,0.402,555,0.394,608,0.390
578,594,0.446,619,0.415,331,0.412
579,583,0.420,335,0.418,578,0.409
580,569,0.421,568,0.421,587,0.412
581,567,0.430,774,0.402,510,0.400
582,376,0.437,202,0.429,506,0.424
583,325,0.455,225,0.427,322,0.423
584,567,0.429,530,0.404,370,0.404
585,182,0.415,381,0.393,655,0.390
586,743,0.393,386,0.386,742,0.384
587,420,0.424,580,0.412,159,0.397
588,693,0.397,631,0.365,195,0.359
589,028,0.374,477,0.371,410,0.367
590,593,0.461,570,0.440,200,0.438
591,089,0.424,593,0.420,599,0.417
592,518,0.416,099,0.411,525,0.385
593,590,0.461,599,0.439,089,0.436
594,578,0.446,208,0.417,191,0.399
595,533,0.416,734,0.414,582,0.405
596,696,0.446,296,0.429,406,0.422
597,697,0.415,307,0.414,607,0.413
598,420,0.405,081,0.385,587,0.382
599,593,0.439,089,0.438,070,0.422
600,690,0.422,560,0.422,610,0.407
601,372,0.397,394,0.388,361,0.386
602,603,0.452,606,0.450,604,0.436
603,602,0.452,606,0.449,604,0.437
604,606,0.441,603,0.437,602,0.436
605,401,0.442,403,0.401,295,0.397
606,602,0.450,603,0.449,604,0.441
607,697,0.456,407,0.429,597,0.413
608,618,0.462,408,0.426,555,0.411
609,410,0.443,409,0.434,660,0.404
610,510,0.430,186,0.426,230,0.424
613,626,0.414,624,0.413,622,0.411
