side,line,position,head,print_ink_width,tracing_width,similarity,local_score
Ev,Ev07,4,035,47,19,0.2875,0.387
Ev,Ev07,5,400,50,22,0.3907,0.497
Ev,Ev07,6,035,51,21,0.2569,0.318
Ev,Ev07,7,071,78,35,0.3948,0.389
Ev,Ev07,8,035,45,20,0.2984,0.643
Ev,Ev07,9,010,43,18,0.3782,0.552
Ev,Ev07,10,035,40,17,0.256,0.358
Ev,Ev07,11,276,66,30,0.3928,0.516
Ev,Ev07,12,188,72,28,0.3594,0.46
Ev,Ev07,13,031,39,14,0.2348,0.5
Ev,Ev07,14,509,57,27,0.404,0.608
Ev,Ev07,15,062,54,21,0.3246,0.527
Ev,Ev07,16,009,34,12,0.3903,0.679
Ev,Ev07,17,092,42,17,0.3607,0.674
Ev,Ev07,18,001,16,5,0.3715,0.553
Ev,Ev07,19,092,48,15,0.2868,0.561
Ev,Ev07,20,009,38,14,0.3949,0.555
Ev,Ev07,21,092,39,13,0.3205,0.521
Ev,Ev07,22,005,36,13,0.3756,0.473
Ev,Ev07,23,092,34,11,0.2945,0.402
Ev,Ev07,24,005,34,12,0.188,0.273
Ev,Ev07,25,092,45,16,0.2598,0.437
Ev,Ev07,26,001,16,6,0.4101,0.589
Ev,Ev07,27,739,31,13,0.3643,0.56
Ev,Ev07,28,244,96,43,0.414,0.556
Ev,Ev07,29,044,49,20,0.4062,0.622
Ev,Ev07,30,092,38,14,0.3765,0.718
Ev,Ev07,31,022,16,7,0.42,0.723
Ev,Ev07,32,092,34,14,0.3904,0.606
Ev,Ev07,33,090,37,15,0.3676,0.588
Ev,Ev07,34,092,35,13,0.3713,0.562
Ev,Ev07,35,386,98,37,0.338,0.37
Ev,Ev07,36,755,41,18,0.3776,0.52
Ev,Ev07,37,298,51,28,0.3603,0.462
Ev,Ev07,38,020,27,9,0.3752,0.602
Ev,Ev07,39,079,49,22,0.4052,0.632
Ev,Ev07,40,079,43,21,0.3656,0.473
Ev,Ev07,41,001,15,5,0.3449,0.585
Ev,Ev07,42,001,16,6,0.3727,0.646
Ev,Ev08,0,200,75,35,0.2317,0.273
Ev,Ev08,1,073,45,20,0.3391,0.432
Ev,Ev08,2,001,48,20,0.2968,0.58
Ev,Ev08,3,011,17,6,0.3319,0.661
Ev,Ev08,4,073,48,20,0.2343,0.485
Ev,Ev08,5,700,24,8,0.2061,0.49
Ev,Ev08,6,022,21,7,0.3246,0.441
Ev,Ev08,7,022,14,8,0.4025,0.403
Ev,Ev08,8,305,75,36,0.365,0.452
Ev,Ev08,9,022,51,16,0.2746,0.478
Ev,Ev08,10,022,18,6,0.3638,0.598
Ev,Ev08,11,022,16,6,0.3742,0.643
Ev,Ev08,12,755,38,18,0.3288,0.542
Ev,Ev08,13,099,42,18,0.4074,0.504
Ev,Ev08,14,755,43,17,0.2942,0.416
Ev,Ev08,15,001,16,6,0.3629,0.52
Ev,Ev08,16,046,28,11,0.3641,0.544
Ev,Ev08,17,073,50,22,0.3158,0.527
Ev,Ev08,18,522,49,21,0.3744,0.569
Ev,Ev08,19,050,23,10,0.3054,0.509
Ev,Ev08,20,022,28,9,0.2956,0.289
Ev,Ev08,21,055,15,9,0.2143,0.34
Ev,Ev08,22,590,67,27,0.3913,0.462
Ev,Ev08,23,755,45,16,0.2462,0.394
Ev,Ev08,24,459,53,21,0.3115,0.504
Ev,Ev08,25,379,69,29,0.3285,0.571
Ev,Ev08,26,006,76,35,0.3719,0.64
Ev,Ev08,27,202,55,26,0.335,0.633
Ev,Ev08,28,739,32,10,0.235,0.711
Ev,Ev08,29,020,26,9,0.3254,0.56
Ev,Ev08,30,002,38,24,0.1948,0.543
Ev,Ev08,31,068,29,10,0.3069,0.453
Ev,Ev08,32,077,107,37,0.2782,0.324
Ev,Ev08,33,055,24,9,0.3586,0.472
Ev,Ev08,34,095,39,16,0.2996,0.584
Ev,Ev08,35,326,69,29,0.3502,0.603
Ev,Ev08,36,019,22,8,0.3732,0.738
Ev,Ev08,37,057,35,16,0.2637,0.607
Ev,Ev08,38,019,20,8,0.3226,0.557
Ev,Ev08,39,107,24,9,0.2269,0.441
Ev,Ev08,40,019,12,7,0.14,0.383
