side,lag,observed,shuffled_mean,z
Gr,5,0.0769,0.0334,4.04
Gr,6,0.1245,0.0329,8.52
Gr,7,0.0862,0.0337,4.61
Gr,8,0.0909,0.0333,4.78
Gr,9,0.0696,0.0343,3.13
Gr,10,0.0742,0.0334,3.88
Gr,11,0.0526,0.0342,1.54
Gr,12,0.0881,0.0321,4.68
Gr,13,0.0708,0.0344,3.09
Gr,14,0.0756,0.0359,3.59
Gr,15,0.0491,0.0331,1.46
Gr,16,0.0807,0.0323,4.39
Gr,17,0.0270,0.0326,-0.51
Gr,18,0.0724,0.0336,3.40
Gr,19,0.0591,0.0329,2.24
Gr,20,0.0868,0.0330,4.71
Gr,21,0.0550,0.0343,1.94
Gr,22,0.0415,0.0345,0.63
Gr,23,0.0463,0.0349,1.05
Gr,24,0.0326,0.0327,-0.01
Gr,25,0.0607,0.0348,2.02
Gr,26,0.0282,0.0338,-0.49
Gr,27,0.0613,0.0329,2.18
Gr,28,0.0284,0.0319,-0.31
Gr,29,0.0476,0.0339,1.13
Gr,30,0.0239,0.0326,-0.71
Gr,31,0.0288,0.0348,-0.49
Gr,32,0.0676,0.0338,2.94
Gr,33,0.0194,0.0334,-1.22
Gr,34,0.0488,0.0343,1.26
Gr,35,0.0245,0.0341,-0.75
Gr,36,0.0296,0.0337,-0.35
Gr,37,0.0297,0.0343,-0.38
Gr,38,0.0348,0.0341,0.06
Gr,39,0.0400,0.0337,0.53
Gr,40,0.0452,0.0329,1.00
Gr,41,0.0303,0.0338,-0.28
Gr,42,0.0254,0.0321,-0.54
Gr,43,0.0408,0.0330,0.67
Gr,44,0.0308,0.0347,-0.32
Gr,45,0.0412,0.0351,0.49
Gr,46,0.0311,0.0335,-0.19
Gr,47,0.0365,0.0331,0.27
Gr,48,0.0524,0.0333,1.52
Gr,49,0.0368,0.0327,0.33
Gr,50,0.0265,0.0326,-0.51
Gr,51,0.0160,0.0344,-1.52
Gr,52,0.0321,0.0345,-0.19
Gr,53,0.0215,0.0335,-1.01
Gr,54,0.0324,0.0344,-0.15
Gr,55,0.0380,0.0333,0.39
Gr,56,0.0328,0.0342,-0.11
Gr,57,0.0165,0.0342,-1.51
Gr,58,0.0387,0.0338,0.34
Gr,59,0.0500,0.0342,1.32
Gr,60,0.0279,0.0344,-0.49
Gv,1,0.0661,0.0160,6.63
Gv,2,0.1037,0.0172,10.71
Gv,3,0.0500,0.0158,4.32
Gv,4,0.0586,0.0174,5.18
Gv,5,0.0630,0.0177,5.28
Gv,6,0.0422,0.0173,2.78
Gv,7,0.0169,0.0171,-0.01
Gv,8,0.0340,0.0175,2.11
Gv,9,0.0342,0.0166,2.34
Gv,10,0.0429,0.0179,3.12
Gv,11,0.0129,0.0156,-0.36
Gv,12,0.0260,0.0177,0.95
Gv,13,0.0130,0.0165,-0.42
Gv,14,0.0131,0.0173,-0.48
Gv,15,0.0132,0.0171,-0.45
Gv,16,0.0308,0.0170,1.67
Gv,17,0.0044,0.0162,-1.49
Gv,18,0.0178,0.0166,0.14
Gv,19,0.0089,0.0178,-1.07
Gv,20,0.0135,0.0167,-0.40
Gv,21,0.0270,0.0165,1.20
Gv,22,0.0271,0.0181,1.07
Gv,23,0.0227,0.0174,0.66
Gv,24,0.0137,0.0174,-0.47
Gv,25,0.0138,0.0176,-0.48
Gv,26,0.0369,0.0161,2.69
Gv,27,0.0185,0.0159,0.34
Gv,28,0.0233,0.0171,0.74
Gv,29,0.0093,0.0169,-0.88
Gv,30,0.0188,0.0159,0.35
Gv,31,0.0189,0.0169,0.21
Gv,32,0.0190,0.0180,0.09
Gv,33,0.0238,0.0156,0.91
Gv,34,0.0096,0.0166,-0.82
Gv,35,0.0096,0.0173,-0.92
